policy,replicate,slot,rank,wins,points_for
season_sim,76,4,11,4,1199.580078125
need_adp,77,5,9,6,1418.0799560546875
season_sim,77,5,9,5,1445.52001953125
need_adp,78,6,11,3,1272.9798583984375
season_sim,78,6,3,9,1459.780029296875
need_adp,79,7,7,6,1366.5799560546875
season_sim,79,7,1,12,1588.9599609375
need_adp,80,8,5,7,1404.419921875
season_sim,80,8,2,11,1413.079833984375
need_adp,81,9,6,7,1304.85986328125
season_sim,81,9,2,11,1517.3599853515625
need_adp,82,10,6,8,1454.4200439453125
season_sim,82,10,1,12,1722.1199951171875
need_adp,83,11,10,5,1297.47998046875
season_sim,83,11,1,10,1539.419921875
need_adp,84,0,5,8,1475.179931640625
season_sim,84,0,2,10,1481.1600341796875
need_adp,85,1,2,9,1468.93994140625
season_sim,85,1,3,9,1440.2801513671875
need_adp,86,2,2,10,1494.580078125
season_sim,86,2,2,10,1513.199951171875
need_adp,87,3,5,7,1366.4200439453125
season_sim,87,3,2,9,1515.580078125
need_adp,88,4,4,8,1541.1201171875
season_sim,88,4,1,11,1518.460205078125
need_adp,89,5,11,5,1415.6199951171875
season_sim,89,5,12,2,1304.860107421875
need_adp,90,6,5,7,1472.7000732421875
season_sim,90,6,1,11,1695.6199951171875
need_adp,91,7,2,9,1558.039794921875
season_sim,91,7,3,8,1528.97998046875
need_adp,92,8,10,5,1293.2999267578125
season_sim,92,8,2,10,1467.080078125
need_adp,93,9,4,8,1515.10009765625
season_sim,93,9,1,12,1631.5198974609375
need_adp,94,10,1,10,1572.7598876953125
season_sim,94,10,4,9,1591.579833984375
need_adp,95,11,1,12,1638.4801025390625
season_sim,95,11,1,10,1585.8798828125
need_adp,96,0,2,11,1528.0
season_sim,96,0,6,8,1441.9801025390625
need_adp,97,1,3,9,1477.2999267578125
season_sim,97,1,5,9,1415.0
need_adp,98,2,5,7,1441.5802001953125
season_sim,98,2,1,11,1500.5
need_adp,99,3,4,8,1481.0
season_sim,99,3,1,12,1549.699951171875
need_adp,100,4,5,8,1518.4000244140625
season_sim,100,4,4,8,1506.0400390625
need_adp,101,5,6,7,1408.4801025390625
season_sim,101,5,2,9,1578.7200927734375
need_adp,102,6,2,11,1369.02001953125
season_sim,102,6,6,7,1431.7999267578125
need_adp,103,7,3,9,1560.97998046875
season_sim,103,7,2,10,1527.5799560546875
need_adp,104,8,5,7,1366.52001953125
season_sim,104,8,7,7,1259.8800048828125
need_adp,105,9,5,8,1463.02001953125
season_sim,105,9,5,8,1440.0997314453125
need_adp,106,10,1,12,1634.0799560546875
season_sim,106,10,1,10,1577.679931640625
need_adp,107,11,4,8,1470.699951171875
season_sim,107,11,3,8,1470.559814453125
need_adp,108,0,4,9,1614.7200927734375
season_sim,108,0,4,8,1419.3798828125
need_adp,109,1,1,10,1514.0999755859375
season_sim,109,1,3,8,1560.259765625
need_adp,110,2,2,10,1648.0001220703125
season_sim,110,2,10,4,1297.280029296875
need_adp,111,3,6,7,1403.199951171875
season_sim,111,3,1,10,1582.0
need_adp,112,4,2,9,1529.7999267578125
season_sim,112,4,6,7,1478.47998046875
need_adp,113,5,11,3,1253.360107421875
season_sim,113,5,6,7,1439.760009765625
need_adp,114,6,5,7,1397.2000732421875
season_sim,114,6,4,8,1623.02001953125
need_adp,115,7,4,9,1457.0001220703125
season_sim,115,7,4,9,1491.39990234375
need_adp,116,8,1,12,1603.4000244140625
season_sim,116,8,1,10,1577.499755859375
need_adp,117,9,4,7,1463.419921875
season_sim,117,9,1,10,1711.9200439453125
need_adp,118,10,7,7,1471.260009765625
season_sim,118,10,9,6,1351.4599609375
need_adp,119,11,5,8,1498.27978515625
season_sim,119,11,1,12,1593.0198974609375
need_adp,120,0,3,9,1642.199951171875
season_sim,120,0,1,11,1514.7999267578125
need_adp,121,1,1,12,1599.920166015625
season_sim,121,1,2,10,1514.5799560546875
need_adp,122,2,4,8,1451.4000244140625
season_sim,122,2,3,9,1654.599853515625
need_adp,123,3,5,8,1397.7999267578125
season_sim,123,3,6,8,1500.820068359375
need_adp,124,4,3,9,1611.300048828125
season_sim,124,4,3,10,1484.760009765625
need_adp,125,5,1,10,1513.219970703125
season_sim,125,5,3,10,1343.60009765625
need_adp,126,6,2,10,1535.3599853515625
season_sim,126,6,1,11,1464.8201904296875
need_adp,127,7,11,4,1290.5
season_sim,127,7,1,10,1564.31982421875
need_adp,128,8,5,7,1457.260009765625
season_sim,128,8,5,7,1457.9197998046875
need_adp,129,9,11,3,1167.0399169921875
season_sim,129,9,2,8,1445.7999267578125
need_adp,130,10,3,9,1501.3399658203125
season_sim,130,10,6,6,1464.4000244140625
need_adp,131,11,3,10,1462.300048828125
season_sim,131,11,5,8,1356.1600341796875
need_adp,132,0,3,9,1469.97998046875
season_sim,132,0,4,8,1611.3599853515625
need_adp,133,1,5,7,1430.3800048828125
season_sim,133,1,4,8,1453.7198486328125
need_adp,134,2,2,9,1561.6201171875
season_sim,134,2,3,9,1472.0001220703125
need_adp,135,3,8,6,1504.7000732421875
season_sim,135,3,2,11,1626.35986328125
need_adp,136,4,4,9,1507.6600341796875
season_sim,136,4,11,4,1432.7001953125
need_adp,137,5,2,9,1658.0399169921875
season_sim,137,5,3,9,1581.4599609375
need_adp,138,6,3,9,1533.699951171875
season_sim,138,6,2,10,1462.4398193359375
need_adp,139,7,9,5,1312.3798828125
season_sim,139,7,8,6,1387.2801513671875
need_adp,140,8,9,6,1470.2001953125
season_sim,140,8,4,10,1700.739990234375
need_adp,141,9,1,13,1600.919921875
season_sim,141,9,2,11,1640.4200439453125
need_adp,142,10,5,8,1447.3800048828125
season_sim,142,10,1,10,1506.4801025390625
need_adp,143,11,3,8,1484.739990234375
season_sim,143,11,2,10,1534.219970703125
need_adp,144,0,4,8,1511.8399658203125
season_sim,144,0,1,13,1651.2999267578125
need_adp,145,1,2,9,1576.4000244140625
season_sim,145,1,4,8,1587.0198974609375
need_adp,146,2,8,6,1533.0799560546875
season_sim,146,2,1,10,1637.9798583984375
need_adp,147,3,1,12,1704.1600341796875
season_sim,147,3,4,8,1578.800048828125
need_adp,148,4,10,6,1317.919921875
season_sim,148,4,2,9,1448.0999755859375
need_adp,149,5,10,5,1389.760009765625
season_sim,149,5,4,8,1482.179931640625
need_adp,150,6,1,11,1590.579833984375
season_sim,150,6,3,9,1429.820068359375
need_adp,151,7,6,7,1404.919921875
season_sim,151,7,1,10,1609.9998779296875
need_adp,152,8,2,9,1470.280029296875
season_sim,152,8,3,9,1487.5999755859375
need_adp,153,9,1,10,1638.7799072265625
season_sim,153,9,6,7,1365.780029296875
need_adp,154,10,2,10,1468.2000732421875
season_sim,154,10,7,7,1490.5999755859375
need_adp,155,11,2,10,1488.4598388671875
season_sim,155,11,1,9,1453.5999755859375
need_adp,156,0,8,5,1362.0599365234375
season_sim,156,0,3,9,1588.02001953125
need_adp,157,1,7,7,1451.1400146484375
season_sim,157,1,10,5,1373.219970703125
need_adp,158,2,2,10,1623.639892578125
season_sim,158,2,1,12,1641.320068359375
need_adp,159,3,1,9,1544.5
season_sim,159,3,4,8,1464.97998046875
need_adp,160,4,8,6,1495.06005859375
season_sim,160,4,11,5,1386.260009765625
need_adp,161,5,8,6,1438.0
season_sim,161,5,1,12,1669.0201416015625
need_adp,162,6,5,8,1313.0
season_sim,162,6,7,7,1424.6400146484375
need_adp,163,7,4,8,1485.9599609375
season_sim,163,7,1,11,1456.9599609375
need_adp,164,8,7,6,1456.1600341796875
season_sim,164,8,4,8,1360.440185546875
need_adp,165,9,8,6,1398.5
season_sim,165,9,3,9,1496.4200439453125
need_adp,166,10,5,7,1536.260009765625
season_sim,166,10,4,8,1413.6800537109375
need_adp,167,11,2,9,1495.3199462890625
season_sim,167,11,1,10,1535.52001953125
need_adp,168,0,5,7,1409.2999267578125
season_sim,168,0,2,10,1480.280029296875
need_adp,169,1,3,10,1576.599853515625
season_sim,169,1,7,6,1389.60009765625
need_adp,170,2,2,9,1621.8800048828125
season_sim,170,2,2,9,1562.60009765625
need_adp,171,3,10,6,1326.760009765625
season_sim,171,3,2,10,1508.3199462890625
need_adp,172,4,7,6,1520.6199951171875
season_sim,172,4,2,9,1535.7799072265625
need_adp,173,5,6,7,1439.47998046875
season_sim,173,5,2,10,1636.579833984375
need_adp,174,6,7,8,1338.4599609375
season_sim,174,6,11,4,1369.599853515625
need_adp,175,7,4,8,1463.0198974609375
season_sim,175,7,2,10,1560.5799560546875
need_adp,176,8,5,8,1481.239990234375
season_sim,176,8,4,8,1483.1400146484375
need_adp,177,9,11,4,1091.97998046875
season_sim,177,9,2,10,1596.6600341796875
need_adp,178,10,5,8,1432.2601318359375
season_sim,178,10,4,8,1512.0399169921875
need_adp,179,11,2,11,1590.519775390625
season_sim,179,11,3,9,1489.280029296875
need_adp,180,0,3,9,1586.419921875
season_sim,180,0,2,11,1600.5999755859375
need_adp,181,1,3,9,1458.5198974609375
season_sim,181,1,3,9,1533.52001953125
need_adp,182,2,1,12,1645.559814453125
season_sim,182,2,8,6,1458.1199951171875
need_adp,183,3,6,8,1467.52001953125
season_sim,183,3,2,9,1494.4600830078125
need_adp,184,4,6,7,1495.5
season_sim,184,4,2,9,1504.280029296875
need_adp,185,5,1,11,1543.0
season_sim,185,5,4,9,1392.4801025390625
need_adp,186,6,3,9,1404.1199951171875
season_sim,186,6,1,10,1630.300048828125
need_adp,187,7,2,9,1393.4200439453125
season_sim,187,7,2,10,1512.5
need_adp,188,8,6,7,1470.699951171875
season_sim,188,8,3,8,1608.760009765625
need_adp,189,9,3,10,1398.580078125
season_sim,189,9,6,8,1316.679931640625
need_adp,190,10,1,9,1627.360107421875
season_sim,190,10,2,9,1583.9599609375
need_adp,191,11,5,7,1416.260009765625
season_sim,191,11,3,8,1515.580078125
need_adp,192,0,11,4,1355.3798828125
season_sim,192,0,7,7,1331.7200927734375
need_adp,193,1,4,9,1519.5
season_sim,193,1,1,12,1626.9200439453125
need_adp,194,2,8,6,1394.380126953125
season_sim,194,2,8,6,1480.1199951171875
need_adp,195,3,2,10,1549.5
season_sim,195,3,8,6,1418.4599609375
need_adp,196,4,6,7,1348.7598876953125
season_sim,196,4,7,6,1320.1199951171875
need_adp,197,5,1,12,1676.0
season_sim,197,5,1,12,1782.6199951171875
need_adp,198,6,4,7,1477.1199951171875
season_sim,198,6,9,6,1499.4200439453125
need_adp,199,7,1,11,1521.9599609375
season_sim,199,7,1,11,1575.2799072265625
